Date,Site,Plot,Observers,StartTime,EndTime,Air,SoilA,SoilB,Leaf,O,A,Wind,Sky,R24,Notes
2017-05-16,Piney,1,"DJH, LJB",12:30,14:44,25,10,9.5,0.5,1.7,3.4,,,N,MARKING IN THE LAB
2017-05-16,Piney,2,"DJH, LJB",13:03,13:27,28,12.5,13,0.5,1.4,3.3,,,N,
2017-05-16,Piney,3,"DJH, LJB",13:32,13:54,25,10,12.5,0.4,1,,,,N,
2017-05-16,Piney,4,"DJH, LJB, JKH",13:59,14:35,25,13,12.5,0.3,1.1,3.5,,,N,
2017-05-16,Piney,5,"DJH, LJB, JKH",14:40,15:00,25.5,10,10.5,0.4,0.3,4.2,,,N,
2017-05-16,Piney,6,"DJH, LJB, JKH",15:05,15:25,26,11.5,13,0.2,1.9,3,,,N,
2017-05-16,Piney,1,DJH + LGS,12:08,13:10,15,11,11.5,,,,,,N,
2017-05-16,Piney,2,DJH + LGS,13:12,13:44,15,12,12.5,,,,,,N,
2017-05-16,Piney,5,DJH + LGS,13:46,14:15,16,11,11,,,,,,N,
2017-05-16,Piney,6,DJH + LGS,14:19,14:35,14,12,12,,,,,,N,
2017-05-16,Piney,3,DJH + LGS,14:37,15:02,14,11,12,,,,,,N,
2017-05-16,Piney,4,DJH + LGS,15:05,15:26,14,12,12,,,,,,N,
2017-05-16,Piney,1,DJH + LGS,13:20,13:50,17.5,13.5,13,0.1,4.7,9.5,,,Y,
2017-05-16,Piney,2,DJH + LGS,13:55,14:11,19,14,15,1,0.3,4.5,,,Y,
2017-05-16,Piney,5,DJH + LGS,14:15,14:33,19.5,13.5,12.5,0.5,1.5,6.8,,,Y,
2017-05-16,Piney,6,DJH + LGS,14:38,14:50,19.5,14.5,15,0.5,2.5,7,,,Y,
2017-05-16,Piney,3,DJH + LGS,14:52,15:26,20,14,14.5,0.2,1,4,,,Y,
2017-05-16,Piney,4,DJH + LGS,15:32,16:01,20,15.5,14,0.5,1.2,4,,,Y,
2017-05-23,Piney,1,,,,15,11,,,,,,,,from loggers
2017-05-23,Piney,2,,,,15,12,,,,,,,,from loggers
2017-05-23,Piney,3,,,,15,11,,,,,,,,from loggers
2017-05-23,Piney,4,,,,15,11.5,,,,,,,,from loggers
2017-05-23,Piney,5,,,,15,11,,,,,,,,from loggers
2017-05-23,Piney,6,,,,15,14,,,,,,,,from loggers
2017-05-29,Piney,1,,,,19,15,,,,,,,,from loggers
2017-05-29,Piney,2,,,,19,14,,,,,,,,from loggers
2017-05-29,Piney,3,,,,19,13.5,,,,,,,,from loggers
2017-05-29,Piney,4,,,,19,15,,,,,,,,from loggers
2017-05-29,Piney,5,,,,19,11.5,,,,,,,,from loggers
2017-05-29,Piney,6,,,,19,16,,,,,,,,from loggers
2017-09-21,Piney,1,"NH, JB, JH, DJH",13:00,16:01,21,15.5,15,1.2,2.5,,0,0,N,measurements in cm
2017-09-21,Piney,2,"NH, JH, DJH",16:04,17:00,23.5,17,16.5,0.5,1.3,,0,0,N,
2017-09-22,Piney,3,"NH, JB, LB",16:15,19:00,23,16,16,0.5,4,,0,1,N,
2017-09-24,Piney,4,"NH, JB, JH",10:15,14:20,25,15.5,16,0.5,2.5,,0,0,N,
2017-09-24,Piney,6,"NH, JB, JH",14:30,17:00,24,15,15.5,2,2,,0,0,N,
2017-09-24,Piney,5,"NH, JB, JH",,,24,15,15.5,,,,,,,
2017-09-28,Piney,1,"NH, JB, JH",12:00,13:15,17,15,15.5,1,5,,2,0,N,wind at 13mph
2017-09-28,Piney,2,"NH, JB, JH",13:30,15:00,18.5,16,16,1.25,2.6,,2,0,N,
2017-09-28,Piney,3,"NH, JH, DJH",15:20,16:15,19,15.5,16,0.2,1.3,,2,0,N,
2017-09-29,Piney,4,"NH, JB, JH",16:30,18:00,15.5,15.5,16,0.3,1.5,,1,1,N,
2017-09-29,Piney,5,"NH, JB, JH",18:30,19:45,12.5,14,13.5,0.5,2,,0,1,N,
2017-10-01,Piney,6,"NH, JB, JH",10:00,12:30,9,11,11.5,0.3,2.5,,1,0,N,
2017-10-05,Piney,1,"NH, JB",11:40,13:30,19.5,13.5,14,1,2.5,,2,4,N,
2017-10-05,Piney,2,"NH, JH",14:00,17:00,16,14.5,14.5,1,3,,0,4,Y,rain began while sampling
2017-10-07,Piney,3,"NH, JB, JH",11:00,12:20,21.5,14.5,13.5,0.5,2,,1,0,Y,
2017-10-07,Piney,4,"NH, JB, JH",12:30,14:30,23.5,15,15.5,0.5,3,,1,2,Y,
2017-10-07,Piney,5,"JB, JH",16:45,18:00,22,15,14.5,0.2,2.3,,1,1,Y,
2017-10-07,Piney,6,"NH, JB, JH",14:45,16:30,23,16,15,0.3,1.3,,1,1,Y,
2017-10-12,Piney,1,"NH, JB",11:45,12:50,14,14.5,15.5,0.5,3,,1,5,Y,
2017-10-12,Piney,2,"NH, JB",13:00,14:00,14,16,15.5,0.2,3.5,,1,5,Y,
2017-10-14,Piney,3,"NH, JB, JG",11:15,13:30,17,14,14.5,0.3,2.5,,1,1,Y,
2017-10-14,Piney,4,"NH, JB, JG, DJH",13:30,15:30,22.75,14,15,0.5,2.5,,2,2,Y,
