Row,page,site,pp,ss,session,date,plot,board,plethodontid,species,svl,tl,mass,tail,testes1,testes,snout1,cirri1,cirri,eggs1,eggs,Neggs,sex1,sex,morph,recap1,recap,mark1,mark2,markf,notes,flag,id,check,Resolution,Fixed_by,checked_original,Comments
18,NA,Piney,4,1,13,9/14/2018,2,B4,Y,DFUS,39.4,75.4,1,Y,NA,Y,NA,0,N,NA,N,0,M,M,S,N,N,XRXR,XRXR,XRXR,R in 4th position floats,NA,XRXR,NA,NA,NA,NA,NA
790,5,Piney,3,2,10,4/27/2018,1,E0,Y,DOCH,39.8,67.9,1,Y,NA,N,NA,0,N,NA,Y,6,F,F,S,R,Y,ORXO,OORO,OORO,R floater in 4th,Recap,OORO,NA,NA,NA,NA,NA
912,8,Piney,3,3,11,5/4/2018,1,E0,Y,DOCH,38.9,67.7,0.94,N,NA,N,NA,0,N,NA,Y,11,F,F,S,R,Y,OORO,OORO,OORO,NA,Recap,OORO,NA,NA,NA,NA,NA
1354,NA,Piney,6,2,NA,10/11/2019,1,B7,Y,DOCH,37.9,76,1.25,N,NA,N,NA,0,N,Y,Y,0,F,F,S,R,Y,OOXO,NA,OOXO,NA,NA,OOXO,NA,NA,NA,NA,NA
1482,NA,Piney,6,3,NA,10/18/2019,1,B8,Y,DOCH,35.2,71,1.18,Y,N,N,NA,0,N,Y,Y,0,NA,F,S,Y,Y,OOXO,NA,OOXO,NA,NA,OOXO,NA,NA,NA,NA,NA
1355,NA,Piney,6,2,NA,10/11/2019,1,B7,Y,DOCH,34.2,65.3,0.74,N,NA,Y,NA,0,N,NA,N,0,M,U,S,N,N,ROOR,NA,ROOR,NA,NA,ROOR,NA,NA,NA,NA,NA
1483,NA,Piney,6,3,NA,10/18/2019,1,B7,Y,DOCH,32,63.7,0.72,Y,Y,Y,NA,1,Y,N,N,0,NA,U,S,Y,Y,ROOR,NA,ROOR,NA,NA,ROOR,NA,NA,NA,NA,NA
164,NA,Piney,4,2,14,9/22/2018,4,D8,Y,EBIS,43.5,97.3,1.23,N,NA,N,NA,0,N,NA,Y,21,F,F,S,R,Y,OOXB,OOXB,OOXB,NA,NA,OOXB,NA,NA,NA,NA,NA
759,4,Piney,3,1,9,4/22/2018,5,D8,Y,EBIS,45.9,66.5,0.74,N,NA,Y,NA,0,N,NA,N,0,M,M,S,N,N,BBXO,BBXO,BBXO,NA,NA,BBXO,NA,NA,NA,NA,NA
62,4,Piney,1,3,3,5/29/2017,1,E0,Y,PCIN,38.5,73,0.78,Y,N,N,NA,0,N,N,N,0,U,F,S,N,N,BBBB,NA,BBBB,NA,NA,BBBB,NA,NA,NA,NA,NA
100,NA,Piney,4,2,14,9/22/2018,1,E0,Y,PCIN,40.3,76.2,0.78,N,N,N,NA,0,N,Y,Y,7,F,F,S,R,Y,BBBB,BBBB,BBBB,NA,NA,BBBB,NA,NA,NA,NA,NA
81,5,Piney,2,1,4,9/21/2017,1,A1,Y,PCIN,31.3,59.7,0.55,N,NA,N,NA,0,N,NA,N,0,U,U,S,N,N,BBBO,NA,BBBO,NA,NA,BBBO,NA,NA,NA,NA,NA
562,20,Piney,2,5,8,10/21/2017,1,A0,Y,PCIN,34,59.6,0.5,Y,NA,N,NA,0,N,NA,N,0,U,U,S,R,Y,BBBO,BBBO,BBBO,NA,NA,BBBO,NA,NA,NA,NA,NA
106,NA,Piney,4,2,14,9/22/2018,1,A1,Y,PCIN,35.5,66.9,0.73,Y,NA,Y,CIRRI,1,Y,NA,N,0,M,U,S,R,Y,BBBO,BBBO,BBBO,B floater in 4th position,NA,BBBO,NA,NA,NA,NA,NA
83,5,Piney,2,1,4,9/21/2017,1,A5,Y,PCIN,46.9,90,1.48,N,NA,N,NA,0,N,NA,Y,11,F,F,S,N,N,BBBR,NA,BBBR,NA,NA,BBBR,NA,NA,NA,NA,NA
227,9,Piney,2,2,5,9/28/2017,1,A5,Y,PCIN,43.6,83.8,1.55,N,NA,N,NA,0,N,NA,N,0,F,F,S,R,Y,BBBR,BBBR,BBBR,NA,NA,BBBR,NA,NA,NA,NA,NA
474,18,Piney,2,4,7,10/12/2017,1,A6,Y,PCIN,46.6,76.1,1.44,Y,NA,N,NA,0,N,NA,Y,10,F,F,S,R,Y,BXBR,BXBR,BBBR,blue dot near heart,NA,BBBR,NA,NA,NA,NA,NA
567,21,Piney,2,5,8,10/21/2017,1,A5,Y,PCIN,47,91.4,1.55,Y,NA,N,NA,0,N,NA,Y,9,F,F,S,R,Y,BBBR,BBBR,BBBR,NA,NA,BBBR,NA,NA,NA,NA,NA
693,1,Piney,3,1,9,4/21/2018,1,A5,Y,PCIN,41.2,86.1,1.64,N,NA,N,NA,0,N,NA,Y,10,F,F,S,R,Y,BBBR,BBBR,BBBR,NA,NA,BBBR,NA,NA,NA,NA,NA
215,NA,Piney,4,3,15,9/29/2018,1,A5,Y,PCIN,43.7,78.7,1.08,N,NA,N,NA,0,N,NA,Y,10,F,F,S,R,Y,BBBR,BBBR,BBBR,3rd B is a floater,NA,BBBR,NA,NA,NA,NA,NA
