Site,Plot,Date Collected,Wet Mass,W-Container,CW-Mass,Dry Mass,D-Container,CD-Mass,Notes,Soil WMass,Soil DMass,%Water
Piney,1,17-May-17,16.649,AL,3.687,10.293,AL,3.687,,12.962,6.606,0.962155616
Piney,2,17-May-17,20.943,AL,3.161,15.518,AL,3.161,,17.782,12.357,0.439022416
Piney,3,17-May-17,23.084,AL,3.824,15.58,AL,3.824,,19.26,11.756,0.638312351
Piney,4,17-May-17,36.354,AL,3.298,27.968,AL,3.298,,33.056,24.67,0.339927037
Piney,5,17-May-17,22.422,AL,4.766,16.391,AL,4.766,,17.656,11.625,0.518795699
Piney,6,17-May-17,16.082,AL,2.767,11.412,AL,2.767,,13.315,8.645,0.540196645
Piney,1,29-May-17,29.586,AL,3.675,17.547,AL,3.675,,25.911,13.872,0.867863322
Piney,2,29-May-17,51.725,AL,3.146,37.971,AL,3.146,,48.579,34.825,0.394946159
Piney,3,29-May-17,44.043,AL,3.824,30.808,AL,3.824,,40.219,26.984,0.490475838
Piney,4,29-May-17,38.023,AL,3.298,25.024,AL,3.298,,34.725,21.726,0.598315382
Piney,5,29-May-17,35.912,AL,4.766,26.846,AL,4.766,,31.146,22.08,0.410597826
Piney,6,29-May-17,37.144,AL,2.767,24.757,AL,2.767,,34.377,21.99,0.563301501
Piney,1,21-Sep-17,18.511,AL,2.432,11.193,AL,2.432,,16.079,8.761,0.835292775
Piney,2,21-Sep-17,22.289,AL,2.455,19.01,AL,2.455,,19.834,16.555,0.198067049
Piney,3,22-Sep-17,42.808,AL,2.469,36.619,AL,2.469,,40.339,34.15,0.181229868
Piney,4,24-Sep-17,22.995,AL,2.444,18.581,AL,2.444,,20.551,16.137,0.273532875
Piney,5,24-Sep-17,24.551,AL,2.442,20.266,AL,2.442,,22.109,17.824,0.240406194
Piney,6,24-Sep-17,30.151,AL,2.444,23.47,AL,2.444,,27.707,21.026,0.317749453
Piney,1,28-Sep-17,23.688,AL,2.438,17.297,AL,2.438,,21.25,14.859,0.430109698
Piney,2,28-Sep-17,24.391,AL,2.447,19.771,AL,2.447,,21.944,17.324,0.26668206
Piney,3,28-Sep-17,18.916,AL,2.49,16.556,AL,2.49,,16.426,14.066,0.167780464
Piney,4,29-Sep-17,25.681,AL,2.49,20.89,AL,2.49,,23.191,18.4,0.260380435
Piney,5,29-Sep-17,20.011,AL,2.5,14.694,AL,2.5,,17.511,12.194,0.436034115
Piney,6,1-Oct-17,21.453,AL,2.528,14.907,AL,2.528,,18.925,12.379,0.528798772
Piney,1,5-Oct-17,24.479,AL,2.48,18.858,AL,2.48,,21.999,16.378,0.343204298
Piney,2,5-Oct-17,27.169,AL,2.464,22.628,AL,2.464,,24.705,20.164,0.225203333
Piney,3,7-Oct-17,26.095,AL,2.468,22.138,AL,2.468,,23.627,19.67,0.201169293
Piney,4,7-Oct-17,21.16,AL,2.504,16.82,AL,2.504,,18.656,14.316,0.303157307
Piney,5,7-Oct-17,31.726,AL,2.454,26.011,AL,2.454,,29.272,23.557,0.242603048
Piney,6,7-Oct-17,35.119,AL,2.478,28.565,AL,2.478,,32.641,26.087,0.251236248
Piney,1,12-Oct-17,27.779,AL,2.439,21.432,AL,2.439,,25.34,18.993,0.334175749
Piney,2,12-Oct-17,39.867,AL,2.45,24.788,AL,2.45,,37.417,22.338,0.675038052
Piney,3,14-Oct-17,41.201,AL,2.441,31.662,AL,2.441,,38.76,29.221,0.326443311
Piney,4,14-Oct-17,35.492,AL,2.451,25.146,AL,2.451,,33.041,22.695,0.455871337
Piney,5,14-Oct-17,36.593,AL,2.441,25.219,AL,2.441,,34.152,22.778,0.49934147
Piney,6,14-Oct-17,29.22,AL,2.429,21.291,AL,2.429,,26.791,18.862,0.420368996
Piney,1,21-Oct-17,22.815,AL,2.464,16.773,AL,2.464,,20.351,14.309,0.42225173
Piney,2,21-Oct-17,30.446,AL,2.446,20.616,AL,2.446,,28,18.17,0.541001651
Piney,3,21-Oct-17,34.963,AL,2.417,25.971,AL,2.417,,32.546,23.554,0.38176106
Piney,4,22-Oct-17,40.682,AL,2.444,30.656,AL,2.444,,38.238,28.212,0.355380689
Piney,5,22-Oct-17,34.494,AL,2.441,24.689,AL,2.441,,32.053,22.248,0.440713772
Piney,6,22-Oct-17,32.841,AL,2.392,25.184,AL,2.392,,30.449,22.792,0.335951211
Piney,1,26-Oct-17,29.268,AL,2.472,17.928,AL,2.472,,26.796,15.456,0.733695652
Piney,2,26-Oct-17,37.967,AL,2.448,29.124,AL,2.448,,35.519,26.676,0.331496476
Piney,3,27-Oct-17,41.547,AL,2.435,31.568,AL,2.435,,39.112,29.133,0.342532523
Piney,4,27-Oct-17,39.228,AL,2.464,26.705,AL,2.464,,36.764,24.241,0.5166041
Piney,5,26-Oct-17,25.82,AL,2.447,18.234,AL,2.447,,23.373,15.787,0.480521948
Piney,6,26-Oct-17,28.409,AL,2.463,20.406,AL,2.463,,25.946,17.943,0.446023519
,,,,,,,,,,,,
