Plot Title: 4,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153873, SEN S/N: 20153873, LBL: Temp)","Intensity, Lux (LGR S/N: 20153873, SEN S/N: 20153873, LBL: Light)",Bad Battery (LGR S/N: 20153873),Good Battery (LGR S/N: 20153873),Coupler Attached (LGR S/N: 20153873),Host Connected (LGR S/N: 20153873),Stopped (LGR S/N: 20153873),End Of File (LGR S/N: 20153873)
1,12/16/17 20:00,-0.774,0,,,,,,
2,12/17/17 0:00,1.764,0,,,,,,
3,12/17/17 4:00,-1.114,0,,,,,,
4,12/17/17 8:00,-1.57,731.9,,,,,,
5,12/17/17 12:00,3.049,4133.4,,,,,,
6,12/17/17 16:00,1.221,678.1,,,,,,
7,12/17/17 20:00,0.121,0,,,,,,
8,12/18/17 0:00,0.01,0,,,,,,
9,12/18/17 4:00,1.003,0,,,,,,
10,12/18/17 8:00,0.893,161.5,,,,,,
11,12/18/17 12:00,3.788,2927.8,,,,,,
12,12/18/17 16:00,3.893,462.9,,,,,,
13,12/18/17 20:00,3.367,0,,,,,,
14,12/19/17 0:00,4.415,0,,,,,,
15,12/19/17 4:00,4.311,0,,,,,,
16,12/19/17 8:00,3.998,204.5,,,,,,
17,12/19/17 12:00,7.481,7233.4,,,,,,
18,12/19/17 16:00,6.674,581.3,,,,,,
19,12/19/17 20:00,6.37,0,,,,,,
20,12/20/17 0:00,4.207,0,,,,,,
21,12/20/17 4:00,2.303,0,,,,,,
22,12/20/17 8:00,1.221,441.3,,,,,,
23,12/20/17 12:00,3.788,7577.8,,,,,,
24,12/20/17 16:00,3.155,1894.5,,,,,,
25,12/20/17 20:00,-2.844,0,,,,,,
26,12/21/17 0:00,-4.393,0,,,,,,
27,12/21/17 4:00,-3.672,0,,,,,,
28,12/21/17 8:00,-5.496,538.2,,,,,,
29,12/21/17 12:00,3.683,7577.8,,,,,,
30,12/21/17 16:00,2.73,2755.6,,,,,,
31,12/21/17 20:00,-1.456,0,,,,,,
32,12/22/17 0:00,-0.662,0,,,,,,
