"Plot Title: 2B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Temp)","Intensity, Lux (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Light)","Coupler Attached (LGR S/N: 20153868)","Host Connected (LGR S/N: 20153868)","Coupler Detached (LGR S/N: 20153868)","Stopped (LGR S/N: 20153868)","End Of File (LGR S/N: 20153868)"
1,07/11/19 08:00:00 PM,19.853,204.5,,,,,
2,07/12/19 12:00:00 AM,18.521,0.0,,,,,
3,07/12/19 04:00:00 AM,16.808,0.0,,,,,
4,07/12/19 08:00:00 AM,17.570,775.0,,,,,
5,07/12/19 12:00:00 PM,20.424,3100.0,,,,,
6,07/12/19 04:00:00 PM,22.333,4994.5,,,,,
7,07/12/19 08:00:00 PM,20.615,204.5,,,,,
8,07/13/19 12:00:00 AM,16.999,0.0,,,,,
9,07/13/19 04:00:00 AM,14.709,0.0,,,,,
10,07/13/19 08:00:00 AM,14.325,796.5,,,,,
11,07/13/19 12:00:00 PM,21.664,5166.7,,,,,
12,07/13/19 04:00:00 PM,24.062,4994.5,,,,,
13,07/13/19 08:00:00 PM,21.187,204.5,,,,,
14,07/14/19 12:00:00 AM,17.950,0.0,,,,,
15,07/14/19 04:00:00 AM,16.523,0.0,,,,,
16,07/14/19 08:00:00 AM,18.521,893.4,,,,,
17,07/14/19 12:00:00 PM,23.100,5511.1,,,,,
18,07/14/19 04:00:00 PM,24.835,4994.5,,,,,
19,07/14/19 08:00:00 PM,22.046,215.3,,,,,
20,07/15/19 12:00:00 AM,17.950,0.0,,,,,
21,07/15/19 04:00:00 AM,14.900,0.0,,,,,
22,07/15/19 08:00:00 AM,14.517,828.8,,,,,
23,07/15/19 12:00:00 PM,22.621,5166.7,,,,,
24,07/15/19 04:00:00 PM,25.028,4994.5,,,,,
25,07/15/19 08:00:00 PM,21.569,226.0,,,,,
26,07/16/19 12:00:00 AM,17.760,0.0,,,,,
27,07/16/19 04:00:00 AM,16.713,0.0,,,,,
28,07/16/19 08:00:00 AM,17.950,1076.4,,,,,
29,07/16/19 12:00:00 PM,23.966,4133.4,,,,,
30,07/16/19 04:00:00 PM,25.319,3100.0,,,,,
31,07/16/19 08:00:00 PM,22.717,139.9,,,,,
32,07/17/19 12:00:00 AM,20.138,0.0,,,,,
33,07/17/19 04:00:00 AM,18.521,0.0,,,,,
34,07/17/19 08:00:00 AM,19.187,785.8,,,,,
35,07/17/19 12:00:00 PM,24.255,2927.8,,,,,
36,07/17/19 04:00:00 PM,22.142,495.1,,,,,
37,07/17/19 08:00:00 PM,20.901,161.5,,,,,
38,07/18/19 12:00:00 AM,20.615,0.0,,,,,
39,07/18/19 04:00:00 AM,20.424,0.0,,,,,
40,07/18/19 08:00:00 AM,20.519,495.1,,,,,
41,07/18/19 12:00:00 PM,21.664,3788.9,,,,,
42,07/18/19 04:00:00 PM,24.062,4650.0,,,,,
43,07/18/19 08:00:00 PM,22.142,172.2,,,,,
44,07/19/19 12:00:00 AM,19.282,0.0,,,,,
45,07/19/19 04:00:00 AM,18.236,0.0,,,,,
46,07/19/19 08:00:00 AM,20.615,914.9,,,,,
47,07/19/19 12:00:00 PM,24.835,5166.7,,,,,
48,07/19/19 04:00:00 PM,27.173,5166.7,,,,,
49,07/19/19 08:00:00 PM,23.773,193.8,,,,,
50,07/20/19 12:00:00 AM,20.901,0.0,,,,,
51,07/20/19 04:00:00 AM,21.473,0.0,,,,,
52,07/20/19 08:00:00 AM,22.429,990.3,,,,,
53,07/20/19 12:00:00 PM,26.000,5166.7,,,,,
54,07/20/19 04:00:00 PM,28.060,4822.3,,,,,
55,07/20/19 08:00:00 PM,24.351,21.5,,,,,
56,07/21/19 12:00:00 AM,21.951,0.0,,,,,
57,07/21/19 04:00:00 AM,20.234,0.0,,,,,
58,07/21/19 08:00:00 AM,22.046,807.3,,,,,
59,07/21/19 12:00:00 PM,26.292,5511.1,,,,,
60,07/21/19 04:00:00 PM,28.258,4994.5,,,,,
61,07/21/19 08:00:00 PM,23.196,10.8,,,,,
62,07/22/19 12:00:00 AM,20.138,0.0,,,,,
63,07/22/19 04:00:00 AM,19.282,0.0,,,,,
64,07/22/19 08:00:00 AM,19.853,107.6,,,,,
65,07/22/19 12:00:00 PM,20.710,1980.6,,,,,
66,07/22/19 04:00:00 PM,21.282,2152.8,,,,,
67,07/22/19 08:00:00 PM,19.092,21.5,,,,,
68,07/23/19 12:00:00 AM,15.664,0.0,,,,,
69,07/23/19 04:00:00 AM,15.760,0.0,,,,,
70,07/23/19 08:00:00 AM,15.569,1227.1,,,,,
71,07/23/19 12:00:00 PM,17.379,2755.6,,,,,
72,07/23/19 04:00:00 PM,19.282,3961.1,,,,,
73,07/23/19 08:00:00 PM,17.189,247.6,,,,,
74,07/24/19 12:00:00 AM,15.473,0.0,,,,,
75,07/24/19 04:00:00 AM,12.594,0.0,,,,,
76,07/24/19 08:00:00 AM,11.625,656.6,,,,,
77,07/24/19 12:00:00 PM,16.523,3100.0,,,,,
78,07/24/19 04:00:00 PM,19.472,4650.0,,,,,
79,07/24/19 08:00:00 PM,17.094,161.5,,,,,
80,07/25/19 12:00:00 AM,13.076,0.0,,,,,
81,07/25/19 04:00:00 AM,10.846,0.0,,,,,
82,07/25/19 08:00:00 AM,10.748,688.9,,,,,
83,07/25/19 12:00:00 PM,18.140,5511.1,,,,,
84,07/25/19 04:00:00 PM,19.092,1377.8,,,,,
85,07/25/19 08:00:00 PM,17.950,129.2,,,,,
86,07/26/19 12:00:00 AM,14.996,0.0,,,,,
87,07/26/19 04:00:00 AM,12.497,0.0,,,,,
88,07/26/19 08:00:00 AM,12.690,710.4,,,,,
89,07/26/19 12:00:00 PM,20.519,6544.5,,,,,
90,07/26/19 04:00:00 PM,19.472,2152.8,,,,,
91,07/26/19 08:00:00 PM,19.187,215.3,,,,,
92,07/27/19 12:00:00 AM,15.664,0.0,,,,,
93,07/27/19 04:00:00 AM,13.461,0.0,,,,,
94,07/27/19 08:00:00 AM,13.846,398.3,,,,,
95,07/27/19 12:00:00 PM,22.333,5511.1,,,,,
96,07/27/19 04:00:00 PM,24.062,4994.5,,,,,
97,07/27/19 08:00:00 PM,20.519,150.7,,,,,
98,07/28/19 12:00:00 AM,16.141,0.0,,,,,
99,07/28/19 04:00:00 AM,13.942,0.0,,,,,
100,07/28/19 08:00:00 AM,14.996,753.5,,,,,
101,07/28/19 12:00:00 PM,22.429,2066.7,,,,,
102,07/28/19 04:00:00 PM,24.738,4822.3,,,,,
103,07/28/19 08:00:00 PM,21.473,183.0,,,,,
104,07/29/19 12:00:00 AM,18.045,0.0,,,,,
105,07/29/19 04:00:00 AM,16.332,0.0,,,,,
106,07/29/19 08:00:00 AM,16.427,699.7,,,,,
107,07/29/19 12:00:00 PM,23.100,1894.5,,,,,
108,07/29/19 04:00:00 PM,24.545,5166.7,,,,,
109,07/29/19 08:00:00 PM,21.855,129.2,,,,,
110,07/30/19 12:00:00 AM,18.426,0.0,,,,,
111,07/30/19 04:00:00 AM,15.951,0.0,,,,,
112,07/30/19 08:00:00 AM,16.141,678.1,,,,,
113,07/30/19 12:00:00 PM,22.812,6200.0,,,,,
114,07/30/19 04:00:00 PM,21.378,2583.4,,,,,
115,07/30/19 08:00:00 PM,20.615,43.1,,,,,
116,07/31/19 12:00:00 AM,18.711,0.0,,,,,
