"Plot Title: sparcnet_air_plot_3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Temp)","Intensity, Lux (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Light)","Coupler Attached (LGR S/N: 20153865)","Host Connected (LGR S/N: 20153865)","Coupler Detached (LGR S/N: 20153865)","Stopped (LGR S/N: 20153865)","End Of File (LGR S/N: 20153865)"
1,07/11/19 08:00:00 PM,20.043,204.5,,,,,
2,07/12/19 12:00:00 AM,18.521,0.0,,,,,
3,07/12/19 04:00:00 AM,16.713,0.0,,,,,
4,07/12/19 08:00:00 AM,17.855,635.1,,,,,
5,07/12/19 12:00:00 PM,20.138,1636.1,,,,,
6,07/12/19 04:00:00 PM,22.429,4477.8,,,,,
7,07/12/19 08:00:00 PM,20.710,215.3,,,,,
8,07/13/19 12:00:00 AM,17.094,0.0,,,,,
9,07/13/19 04:00:00 AM,14.804,0.0,,,,,
10,07/13/19 08:00:00 AM,14.517,570.5,,,,,
11,07/13/19 12:00:00 PM,21.760,3272.2,,,,,
12,07/13/19 04:00:00 PM,24.351,4650.0,,,,,
13,07/13/19 08:00:00 PM,21.282,204.5,,,,,
14,07/14/19 12:00:00 AM,18.236,0.0,,,,,
15,07/14/19 04:00:00 AM,16.903,0.0,,,,,
16,07/14/19 08:00:00 AM,18.901,656.6,,,,,
17,07/14/19 12:00:00 PM,23.196,3788.9,,,,,
18,07/14/19 04:00:00 PM,25.222,4477.8,,,,,
19,07/14/19 08:00:00 PM,22.621,226.0,,,,,
20,07/15/19 12:00:00 AM,18.140,0.0,,,,,
21,07/15/19 04:00:00 AM,15.282,0.0,,,,,
22,07/15/19 08:00:00 AM,14.996,581.3,,,,,
23,07/15/19 12:00:00 PM,22.908,3616.7,,,,,
24,07/15/19 04:00:00 PM,25.319,4822.3,,,,,
25,07/15/19 08:00:00 PM,21.760,226.0,,,,,
26,07/16/19 12:00:00 AM,18.045,0.0,,,,,
27,07/16/19 04:00:00 AM,17.094,0.0,,,,,
28,07/16/19 08:00:00 AM,18.616,893.4,,,,,
29,07/16/19 12:00:00 PM,24.158,3100.0,,,,,
30,07/16/19 04:00:00 PM,25.708,3444.5,,,,,
31,07/16/19 08:00:00 PM,22.812,107.6,,,,,
32,07/17/19 12:00:00 AM,20.329,0.0,,,,,
33,07/17/19 04:00:00 AM,18.806,0.0,,,,,
34,07/17/19 08:00:00 AM,19.567,538.2,,,,,
35,07/17/19 12:00:00 PM,24.255,2066.7,,,,,
36,07/17/19 04:00:00 PM,22.142,409.0,,,,,
37,07/17/19 08:00:00 PM,21.091,183.0,,,,,
38,07/18/19 12:00:00 AM,20.805,0.0,,,,,
39,07/18/19 04:00:00 AM,20.710,0.0,,,,,
