"Plot Title: 5B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Temp)","Intensity, Lux (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Light)","Host Connected (LGR S/N: 20153866)","Coupler Attached (LGR S/N: 20153866)","Coupler Detached (LGR S/N: 20153866)","Stopped (LGR S/N: 20153866)","End Of File (LGR S/N: 20153866)"
1,07/11/19 08:00:00 PM,19.853,236.8,,,,,
2,07/12/19 12:00:00 AM,18.521,0.0,,,,,
3,07/12/19 04:00:00 AM,16.808,0.0,,,,,
4,07/12/19 08:00:00 AM,17.665,818.1,,,,,
5,07/12/19 12:00:00 PM,20.329,2669.5,,,,,
6,07/12/19 04:00:00 PM,21.664,4305.6,,,,,
7,07/12/19 08:00:00 PM,20.234,183.0,,,,,
8,07/13/19 12:00:00 AM,16.808,0.0,,,,,
9,07/13/19 04:00:00 AM,14.517,0.0,,,,,
10,07/13/19 08:00:00 AM,14.421,807.3,,,,,
11,07/13/19 12:00:00 PM,21.473,4994.5,,,,,
12,07/13/19 04:00:00 PM,23.196,4133.4,,,,,
13,07/13/19 08:00:00 PM,20.805,172.2,,,,,
14,07/14/19 12:00:00 AM,17.855,0.0,,,,,
15,07/14/19 04:00:00 AM,16.808,0.0,,,,,
16,07/14/19 08:00:00 AM,18.616,871.9,,,,,
17,07/14/19 12:00:00 PM,22.717,5338.9,,,,,
18,07/14/19 04:00:00 PM,24.158,4133.4,,,,,
19,07/14/19 08:00:00 PM,21.664,183.0,,,,,
20,07/15/19 12:00:00 AM,17.855,0.0,,,,,
21,07/15/19 04:00:00 AM,14.804,0.0,,,,,
22,07/15/19 08:00:00 AM,14.996,818.1,,,,,
23,07/15/19 12:00:00 PM,22.429,5166.7,,,,,
24,07/15/19 04:00:00 PM,24.448,4133.4,,,,,
25,07/15/19 08:00:00 PM,21.282,183.0,,,,,
26,07/16/19 12:00:00 AM,17.570,0.0,,,,,
27,07/16/19 04:00:00 AM,16.808,0.0,,,,,
28,07/16/19 08:00:00 AM,18.616,1033.3,,,,,
29,07/16/19 12:00:00 PM,23.869,3788.9,,,,,
30,07/16/19 04:00:00 PM,24.835,3100.0,,,,,
31,07/16/19 08:00:00 PM,22.525,118.4,,,,,
32,07/17/19 12:00:00 AM,19.948,0.0,,,,,
33,07/17/19 04:00:00 AM,18.521,0.0,,,,,
34,07/17/19 08:00:00 AM,19.662,742.7,,,,,
35,07/17/19 12:00:00 PM,23.966,2497.2,,,,,
36,07/17/19 04:00:00 PM,22.238,505.9,,,,,
37,07/17/19 08:00:00 PM,20.901,150.7,,,,,
38,07/18/19 12:00:00 AM,20.615,0.0,,,,,
39,07/18/19 04:00:00 AM,20.615,0.0,,,,,
40,07/18/19 08:00:00 AM,20.615,484.4,,,,,
41,07/18/19 12:00:00 PM,21.664,3272.2,,,,,
42,07/18/19 04:00:00 PM,23.388,3788.9,,,,,
43,07/18/19 08:00:00 PM,21.855,139.9,,,,,
44,07/19/19 12:00:00 AM,19.092,0.0,,,,,
45,07/19/19 04:00:00 AM,18.426,0.0,,,,,
46,07/19/19 08:00:00 AM,20.710,731.9,,,,,
47,07/19/19 12:00:00 PM,24.641,4650.0,,,,,
48,07/19/19 04:00:00 PM,26.390,2927.8,,,,,
49,07/19/19 08:00:00 PM,23.484,150.7,,,,,
50,07/20/19 12:00:00 AM,20.805,0.0,,,,,
51,07/20/19 04:00:00 AM,21.569,0.0,,,,,
52,07/20/19 08:00:00 AM,22.525,807.3,,,,,
53,07/20/19 12:00:00 PM,25.610,4994.5,,,,,
54,07/20/19 04:00:00 PM,27.567,3788.9,,,,,
55,07/20/19 08:00:00 PM,24.158,21.5,,,,,
56,07/21/19 12:00:00 AM,21.951,0.0,,,,,
57,07/21/19 04:00:00 AM,20.519,0.0,,,,,
58,07/21/19 08:00:00 AM,22.142,764.2,,,,,
59,07/21/19 12:00:00 PM,26.097,936.5,,,,,
60,07/21/19 04:00:00 PM,27.567,3788.9,,,,,
61,07/21/19 08:00:00 PM,23.484,10.8,,,,,
62,07/22/19 12:00:00 AM,20.329,0.0,,,,,
63,07/22/19 04:00:00 AM,19.377,0.0,,,,,
64,07/22/19 08:00:00 AM,19.948,96.9,,,,,
65,07/22/19 12:00:00 PM,20.805,1980.6,,,,,
66,07/22/19 04:00:00 PM,21.282,2152.8,,,,,
67,07/22/19 08:00:00 PM,19.092,21.5,,,,,
68,07/23/19 12:00:00 AM,15.760,0.0,,,,,
69,07/23/19 04:00:00 AM,15.951,0.0,,,,,
70,07/23/19 08:00:00 AM,15.760,1173.3,,,,,
71,07/23/19 12:00:00 PM,17.284,2497.2,,,,,
72,07/23/19 04:00:00 PM,18.806,3272.2,,,,,
73,07/23/19 08:00:00 PM,16.999,247.6,,,,,
74,07/24/19 12:00:00 AM,15.282,0.0,,,,,
75,07/24/19 04:00:00 AM,12.401,0.0,,,,,
76,07/24/19 08:00:00 AM,11.722,667.4,,,,,
77,07/24/19 12:00:00 PM,16.427,5338.9,,,,,
78,07/24/19 04:00:00 PM,18.616,3788.9,,,,,
79,07/24/19 08:00:00 PM,16.618,139.9,,,,,
80,07/25/19 12:00:00 AM,12.690,0.0,,,,,
81,07/25/19 04:00:00 AM,10.748,0.0,,,,,
82,07/25/19 08:00:00 AM,11.041,699.7,,,,,
83,07/25/19 12:00:00 PM,18.331,5166.7,,,,,
84,07/25/19 04:00:00 PM,18.996,1324.0,,,,,
85,07/25/19 08:00:00 PM,17.665,118.4,,,,,
86,07/26/19 12:00:00 AM,14.709,0.0,,,,,
87,07/26/19 04:00:00 AM,12.497,0.0,,,,,
88,07/26/19 08:00:00 AM,12.980,710.4,,,,,
89,07/26/19 12:00:00 PM,20.424,2066.7,,,,,
90,07/26/19 04:00:00 PM,19.377,1808.3,,,,,
91,07/26/19 08:00:00 PM,19.092,183.0,,,,,
92,07/27/19 12:00:00 AM,15.569,0.0,,,,,
93,07/27/19 04:00:00 AM,13.461,0.0,,,,,
94,07/27/19 08:00:00 AM,14.325,409.0,,,,,
95,07/27/19 12:00:00 PM,22.238,5166.7,,,,,
96,07/27/19 04:00:00 PM,23.388,3961.1,,,,,
97,07/27/19 08:00:00 PM,20.234,129.2,,,,,
98,07/28/19 12:00:00 AM,15.951,0.0,,,,,
99,07/28/19 04:00:00 AM,14.134,0.0,,,,,
100,07/28/19 08:00:00 AM,16.141,742.7,,,,,
101,07/28/19 12:00:00 PM,22.238,2238.9,,,,,
102,07/28/19 04:00:00 PM,24.062,3788.9,,,,,
103,07/28/19 08:00:00 PM,21.187,150.7,,,,,
104,07/29/19 12:00:00 AM,17.950,0.0,,,,,
105,07/29/19 04:00:00 AM,16.523,0.0,,,,,
106,07/29/19 08:00:00 AM,17.189,688.9,,,,,
107,07/29/19 12:00:00 PM,23.100,2755.6,,,,,
108,07/29/19 04:00:00 PM,23.966,4477.8,,,,,
109,07/29/19 08:00:00 PM,21.569,118.4,,,,,
110,07/30/19 12:00:00 AM,18.236,0.0,,,,,
