"Plot Title: 6B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Temp)","Intensity, Lux (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Light)","Coupler Attached (LGR S/N: 20153867)","Host Connected (LGR S/N: 20153867)","Stopped (LGR S/N: 20153867)","End Of File (LGR S/N: 20153867)"
1,07/11/19 08:00:00 PM,19.853,183.0,,,,
2,07/12/19 12:00:00 AM,18.426,0.0,,,,
3,07/12/19 04:00:00 AM,16.618,0.0,,,,
4,07/12/19 08:00:00 AM,17.665,667.4,,,,
5,07/12/19 12:00:00 PM,20.043,1894.5,,,,
6,07/12/19 04:00:00 PM,21.951,4133.4,,,,
7,07/12/19 08:00:00 PM,20.519,204.5,,,,
8,07/13/19 12:00:00 AM,16.713,0.0,,,,
9,07/13/19 04:00:00 AM,14.421,0.0,,,,
10,07/13/19 08:00:00 AM,14.325,688.9,,,,
11,07/13/19 12:00:00 PM,21.569,4477.8,,,,
12,07/13/19 04:00:00 PM,23.677,4133.4,,,,
13,07/13/19 08:00:00 PM,20.996,215.3,,,,
14,07/14/19 12:00:00 AM,18.045,0.0,,,,
15,07/14/19 04:00:00 AM,16.903,0.0,,,,
16,07/14/19 08:00:00 AM,18.901,742.7,,,,
17,07/14/19 12:00:00 PM,23.004,4822.3,,,,
18,07/14/19 04:00:00 PM,24.738,3961.1,,,,
19,07/14/19 08:00:00 PM,22.142,226.0,,,,
20,07/15/19 12:00:00 AM,17.665,0.0,,,,
21,07/15/19 04:00:00 AM,14.804,0.0,,,,
22,07/15/19 08:00:00 AM,14.804,699.7,,,,
23,07/15/19 12:00:00 PM,22.621,4650.0,,,,
24,07/15/19 04:00:00 PM,25.028,4133.4,,,,
25,07/15/19 08:00:00 PM,21.473,236.8,,,,
26,07/16/19 12:00:00 AM,17.760,0.0,,,,
27,07/16/19 04:00:00 AM,16.903,0.0,,,,
28,07/16/19 08:00:00 AM,18.806,914.9,,,,
29,07/16/19 12:00:00 PM,23.966,3444.5,,,,
30,07/16/19 04:00:00 PM,25.222,3100.0,,,,
31,07/16/19 08:00:00 PM,22.621,118.4,,,,
32,07/17/19 12:00:00 AM,20.043,0.0,,,,
33,07/17/19 04:00:00 AM,18.616,0.0,,,,
34,07/17/19 08:00:00 AM,19.662,635.1,,,,
35,07/17/19 12:00:00 PM,23.869,2238.9,,,,
36,07/17/19 04:00:00 PM,22.046,462.9,,,,
37,07/17/19 08:00:00 PM,20.901,139.9,,,,
38,07/18/19 12:00:00 AM,20.615,0.0,,,,
39,07/18/19 04:00:00 AM,20.519,0.0,,,,
40,07/18/19 08:00:00 AM,20.519,462.9,,,,
41,07/18/19 12:00:00 PM,21.473,4822.3,,,,
42,07/18/19 04:00:00 PM,24.641,3961.1,,,,
43,07/18/19 08:00:00 PM,22.238,193.8,,,,
44,07/19/19 12:00:00 AM,19.187,0.0,,,,
45,07/19/19 04:00:00 AM,18.616,0.0,,,,
46,07/19/19 08:00:00 AM,20.996,710.4,,,,
47,07/19/19 12:00:00 PM,25.222,4477.8,,,,
48,07/19/19 04:00:00 PM,27.272,3616.7,,,,
49,07/19/19 08:00:00 PM,23.869,193.8,,,,
50,07/20/19 12:00:00 AM,20.996,0.0,,,,
51,07/20/19 04:00:00 AM,21.855,0.0,,,,
52,07/20/19 08:00:00 AM,22.717,775.0,,,,
53,07/20/19 12:00:00 PM,25.902,4650.0,,,,
54,07/20/19 04:00:00 PM,27.961,3961.1,,,,
55,07/20/19 08:00:00 PM,24.545,21.5,,,,
56,07/21/19 12:00:00 AM,21.855,0.0,,,,
57,07/21/19 04:00:00 AM,20.615,0.0,,,,
58,07/21/19 08:00:00 AM,22.429,678.1,,,,
59,07/21/19 12:00:00 PM,26.390,796.5,,,,
60,07/21/19 04:00:00 PM,28.159,3961.1,,,,
61,07/21/19 08:00:00 PM,23.581,10.8,,,,
62,07/22/19 12:00:00 AM,20.329,0.0,,,,
63,07/22/19 04:00:00 AM,19.472,0.0,,,,
64,07/22/19 08:00:00 AM,19.948,86.1,,,,
65,07/22/19 12:00:00 PM,20.710,1808.3,,,,
66,07/22/19 04:00:00 PM,21.091,2066.7,,,,
67,07/22/19 08:00:00 PM,18.901,21.5,,,,
68,07/23/19 12:00:00 AM,15.664,0.0,,,,
69,07/23/19 04:00:00 AM,15.569,0.0,,,,
70,07/23/19 08:00:00 AM,15.473,1011.8,,,,
71,07/23/19 12:00:00 PM,16.999,2238.9,,,,
72,07/23/19 04:00:00 PM,18.901,3272.2,,,,
73,07/23/19 08:00:00 PM,16.903,226.0,,,,
74,07/24/19 12:00:00 AM,15.187,0.0,,,,
75,07/24/19 04:00:00 AM,12.207,0.0,,,,
76,07/24/19 08:00:00 AM,11.625,570.5,,,,
77,07/24/19 12:00:00 PM,16.618,4822.3,,,,
78,07/24/19 04:00:00 PM,18.806,3788.9,,,,
79,07/24/19 08:00:00 PM,16.713,161.5,,,,
80,07/25/19 12:00:00 AM,12.787,0.0,,,,
81,07/25/19 04:00:00 AM,10.553,0.0,,,,
82,07/25/19 08:00:00 AM,10.846,602.8,,,,
83,07/25/19 12:00:00 PM,18.140,5166.7,,,,
84,07/25/19 04:00:00 PM,18.901,1227.1,,,,
85,07/25/19 08:00:00 PM,17.570,107.6,,,,
86,07/26/19 12:00:00 AM,14.709,0.0,,,,
87,07/26/19 04:00:00 AM,12.497,0.0,,,,
88,07/26/19 08:00:00 AM,12.787,613.5,,,,
89,07/26/19 12:00:00 PM,20.043,1722.2,,,,
90,07/26/19 04:00:00 PM,19.092,1722.2,,,,
91,07/26/19 08:00:00 PM,18.996,204.5,,,,
92,07/27/19 12:00:00 AM,15.664,0.0,,,,
93,07/27/19 04:00:00 AM,13.558,0.0,,,,
94,07/27/19 08:00:00 AM,14.230,344.4,,,,
95,07/27/19 12:00:00 PM,22.046,4994.5,,,,
96,07/27/19 04:00:00 PM,23.484,3961.1,,,,
97,07/27/19 08:00:00 PM,20.424,161.5,,,,
98,07/28/19 12:00:00 AM,16.141,0.0,,,,
99,07/28/19 04:00:00 AM,14.230,0.0,,,,
100,07/28/19 08:00:00 AM,16.237,645.8,,,,
101,07/28/19 12:00:00 PM,22.429,2066.7,,,,
102,07/28/19 04:00:00 PM,24.448,3788.9,,,,
103,07/28/19 08:00:00 PM,21.378,161.5,,,,
104,07/29/19 12:00:00 AM,18.140,0.0,,,,
105,07/29/19 04:00:00 AM,16.618,0.0,,,,
106,07/29/19 08:00:00 AM,17.379,592.0,,,,
107,07/29/19 12:00:00 PM,23.196,1894.5,,,,
108,07/29/19 04:00:00 PM,24.255,4133.4,,,,
109,07/29/19 08:00:00 PM,21.760,150.7,,,,
110,07/30/19 12:00:00 AM,17.950,0.0,,,,
111,07/30/19 04:00:00 AM,16.141,0.0,,,,
112,07/30/19 08:00:00 AM,16.999,570.5,,,,
113,07/30/19 12:00:00 PM,22.621,5166.7,,,,
114,07/30/19 04:00:00 PM,21.187,3444.5,,,,
115,07/30/19 08:00:00 PM,20.519,32.3,,,,
116,07/31/19 12:00:00 AM,18.901,0.0,,,,
117,07/31/19 04:00:00 AM,17.189,0.0,,,,
118,07/31/19 08:00:00 AM,16.903,516.7,,,,
119,07/31/19 12:00:00 PM,19.853,1463.9,,,,
120,07/31/19 04:00:00 PM,19.187,2066.7,,,,
121,07/31/19 08:00:00 PM,19.472,118.4,,,,
122,08/01/19 12:00:00 AM,16.618,0.0,,,,
123,08/01/19 04:00:00 AM,14.804,0.0,,,,
124,08/01/19 08:00:00 AM,14.421,462.9,,,,
125,08/01/19 12:00:00 PM,19.948,850.4,,,,
126,08/01/19 04:00:00 PM,22.046,3961.1,,,,
127,08/01/19 08:00:00 PM,20.138,96.9,,,,
128,08/02/19 12:00:00 AM,17.760,0.0,,,,
129,08/02/19 04:00:00 AM,16.046,0.0,,,,
130,08/02/19 08:00:00 AM,16.237,581.3,,,,
131,08/02/19 12:00:00 PM,20.043,4822.3,,,,
132,08/02/19 04:00:00 PM,20.710,2066.7,,,,
133,08/02/19 08:00:00 PM,18.331,43.1,,,,
134,08/03/19 12:00:00 AM,17.570,0.0,,,,
135,08/03/19 04:00:00 AM,15.760,0.0,,,,
136,08/03/19 08:00:00 AM,15.282,505.9,,,,
137,08/03/19 12:00:00 PM,21.378,1636.1,,,,
138,08/03/19 04:00:00 PM,22.333,1550.0,,,,
139,08/03/19 08:00:00 PM,20.043,118.4,,,,
140,08/04/19 12:00:00 AM,16.618,0.0,,,,
141,08/04/19 04:00:00 AM,14.709,0.0,,,,
142,08/04/19 08:00:00 AM,14.230,667.4,,,,
143,08/04/19 12:00:00 PM,20.996,4822.3,,,,
144,08/04/19 04:00:00 PM,21.282,688.9,,,,
145,08/04/19 08:00:00 PM,19.758,107.6,,,,
146,08/05/19 12:00:00 AM,16.618,0.0,,,,
147,08/05/19 04:00:00 AM,15.282,0.0,,,,
148,08/05/19 08:00:00 AM,14.900,516.7,,,,
