date_time,date,time,temp_C,,,
5/16/17 12:25,5/16/17,12:25,23.5,,,
5/16/17 13:25,5/16/17,13:25,23,,,
5/16/17 14:25,5/16/17,14:25,25.5,,,
5/16/17 15:25,5/16/17,15:25,24.5,,,
5/16/17 16:25,5/16/17,16:25,24.5,,,
5/16/17 17:25,5/16/17,17:25,28,,,
5/16/17 18:25,5/16/17,18:25,22.5,,,
5/16/17 19:25,5/16/17,19:25,20.5,,,
5/16/17 20:25,5/16/17,20:25,17.5,,,
5/16/17 21:25,5/16/17,21:25,14.5,,,
5/16/17 22:25,5/16/17,22:25,13,,,
5/16/17 23:25,5/16/17,23:25,11.5,,,
5/17/17 0:25,5/17/17,0:25,10.5,,,
5/17/17 1:25,5/17/17,1:25,9.5,,,
5/17/17 2:25,5/17/17,2:25,9,,,
5/17/17 3:25,5/17/17,3:25,9,,,
5/17/17 4:25,5/17/17,4:25,9.5,,,
5/17/17 5:25,5/17/17,5:25,10,,,
5/17/17 6:25,5/17/17,6:25,11,,,
5/17/17 7:25,5/17/17,7:25,13,,,
5/17/17 8:25,5/17/17,8:25,16.5,,,
5/17/17 9:25,5/17/17,9:25,20,,,
5/17/17 10:25,5/17/17,10:25,22.5,,,
5/17/17 11:25,5/17/17,11:25,24,,,
5/17/17 12:25,5/17/17,12:25,25.5,,,
5/17/17 13:25,5/17/17,13:25,26,,,
5/17/17 14:25,5/17/17,14:25,28.5,,,
5/17/17 15:25,5/17/17,15:25,28,,,
5/17/17 16:25,5/17/17,16:25,27.5,,,
5/17/17 17:25,5/17/17,17:25,30.5,,,
5/17/17 18:25,5/17/17,18:25,24.5,,,
5/17/17 19:25,5/17/17,19:25,22.5,,,
5/17/17 20:25,5/17/17,20:25,20,,,
5/17/17 21:25,5/17/17,21:25,18,,,
5/17/17 22:25,5/17/17,22:25,17,,,
5/17/17 23:25,5/17/17,23:25,15.5,,,
5/18/17 0:25,5/18/17,0:25,14.5,,,
5/18/17 1:25,5/18/17,1:25,13.5,,,
5/18/17 2:25,5/18/17,2:25,13,,,
5/18/17 3:25,5/18/17,3:25,12,,,
5/18/17 4:25,5/18/17,4:25,12,,,
5/18/17 5:25,5/18/17,5:25,12,,,
5/18/17 6:25,5/18/17,6:25,12,,,
5/18/17 7:25,5/18/17,7:25,12.5,,,
5/18/17 8:25,5/18/17,8:25,15,,,
5/18/17 9:25,5/18/17,9:25,21,,,
5/18/17 10:25,5/18/17,10:25,22,,,
5/18/17 11:25,5/18/17,11:25,24,,,
5/18/17 12:25,5/18/17,12:25,24.5,,,
5/18/17 13:25,5/18/17,13:25,24,,,
5/18/17 14:25,5/18/17,14:25,26.5,,,
5/18/17 15:25,5/18/17,15:25,26.5,,,
5/18/17 16:25,5/18/17,16:25,26.5,,,
5/18/17 17:25,5/18/17,17:25,27.5,,,
5/18/17 18:25,5/18/17,18:25,25,,,
5/18/17 19:25,5/18/17,19:25,23.5,,,
5/18/17 20:25,5/18/17,20:25,21.5,,,
5/18/17 21:25,5/18/17,21:25,20,,,
5/18/17 22:25,5/18/17,22:25,18.5,,,
5/18/17 23:25,5/18/17,23:25,17,,,
5/19/17 0:25,5/19/17,0:25,17,,,
5/19/17 1:25,5/19/17,1:25,17.5,,,
5/19/17 2:25,5/19/17,2:25,17,,,
5/19/17 3:25,5/19/17,3:25,17.5,,,
5/19/17 4:25,5/19/17,4:25,17,,,
5/19/17 5:25,5/19/17,5:25,17,,,
5/19/17 6:25,5/19/17,6:25,17,,,
5/19/17 7:25,5/19/17,7:25,17.5,,,
5/19/17 8:25,5/19/17,8:25,18.5,,,
5/19/17 9:25,5/19/17,9:25,20.5,,,
5/19/17 10:25,5/19/17,10:25,21.5,,,
5/19/17 11:25,5/19/17,11:25,22.5,,,
5/19/17 12:25,5/19/17,12:25,24,,,
5/19/17 13:25,5/19/17,13:25,23.5,,,
5/19/17 14:25,5/19/17,14:25,23,,,
5/19/17 15:25,5/19/17,15:25,25,,,
5/19/17 16:25,5/19/17,16:25,24.5,,,
5/19/17 17:25,5/19/17,17:25,22,,,
5/19/17 18:25,5/19/17,18:25,20.5,,,
5/19/17 19:25,5/19/17,19:25,20,,,
5/19/17 20:25,5/19/17,20:25,18,,,
5/19/17 21:25,5/19/17,21:25,16.5,,,
5/19/17 22:25,5/19/17,22:25,16,,,
5/19/17 23:25,5/19/17,23:25,15,,,
5/20/17 0:25,5/20/17,0:25,15,,,
5/20/17 1:25,5/20/17,1:25,15,,,
5/20/17 2:25,5/20/17,2:25,15,,,
5/20/17 3:25,5/20/17,3:25,14,,,
5/20/17 4:25,5/20/17,4:25,14,,,
5/20/17 5:25,5/20/17,5:25,14,,,
5/20/17 6:25,5/20/17,6:25,14.5,,,
5/20/17 7:25,5/20/17,7:25,15,,,
5/20/17 8:25,5/20/17,8:25,16,,,
5/20/17 9:25,5/20/17,9:25,16,,,
5/20/17 10:25,5/20/17,10:25,14,,,
5/20/17 11:25,5/20/17,11:25,14,,,
5/20/17 12:25,5/20/17,12:25,14.5,,,
5/20/17 13:25,5/20/17,13:25,16,,,
5/20/17 14:25,5/20/17,14:25,17.5,,,
5/20/17 15:25,5/20/17,15:25,17,,,
5/20/17 16:25,5/20/17,16:25,16.5,,,
5/20/17 17:25,5/20/17,17:25,15,,,
5/20/17 18:25,5/20/17,18:25,14,,,
5/20/17 19:25,5/20/17,19:25,12.5,,,
5/20/17 20:25,5/20/17,20:25,11.5,,,
5/20/17 21:25,5/20/17,21:25,11,,,
5/20/17 22:25,5/20/17,22:25,11,,,
5/20/17 23:25,5/20/17,23:25,11,,,
5/21/17 0:25,5/21/17,0:25,11,,,
5/21/17 1:25,5/21/17,1:25,11,,,
5/21/17 2:25,5/21/17,2:25,11,,,
5/21/17 3:25,5/21/17,3:25,10.5,,,
5/21/17 4:25,5/21/17,4:25,10,,,
5/21/17 5:25,5/21/17,5:25,10,,,
5/21/17 6:25,5/21/17,6:25,10,,,
5/21/17 7:25,5/21/17,7:25,10,,,
5/21/17 8:25,5/21/17,8:25,10.5,,,
5/21/17 9:25,5/21/17,9:25,10.5,,,
5/21/17 10:25,5/21/17,10:25,10.5,,,
5/21/17 11:25,5/21/17,11:25,10.5,,,
5/21/17 12:25,5/21/17,12:25,11.5,,,
5/21/17 13:25,5/21/17,13:25,12,,,
5/21/17 14:25,5/21/17,14:25,12,,,
5/21/17 15:25,5/21/17,15:25,13.5,,,
5/21/17 16:25,5/21/17,16:25,13.5,,,
5/21/17 17:25,5/21/17,17:25,13,,,
5/21/17 18:25,5/21/17,18:25,12.5,,,
5/21/17 19:25,5/21/17,19:25,11,,,
5/21/17 20:25,5/21/17,20:25,11,,,
5/21/17 21:25,5/21/17,21:25,11,,,
5/21/17 22:25,5/21/17,22:25,11,,,
