,Date,Time,Temp C,,Site6-50
1,5/16/17,13:02:00,30.5,,
2,5/16/17,14:02:00,27,,
3,5/16/17,15:02:00,24,,
4,5/16/17,16:02:00,9.5,,
5,5/16/17,17:02:00,9.5,,
6,5/16/17,18:02:00,9.5,,
7,5/16/17,19:02:00,9.5,,
8,5/16/17,20:02:00,9.5,,
9,5/16/17,21:02:00,9.5,,
10,5/16/17,22:02:00,9.5,,
11,5/16/17,23:02:00,9.5,,
12,5/17/17,0:02:00,9.5,,
13,5/17/17,1:02:00,10,,
14,5/17/17,2:02:00,10,,
15,5/17/17,3:02:00,10,,
16,5/17/17,4:02:00,10,,
17,5/17/17,5:02:00,10,,
18,5/17/17,6:02:00,10,,
19,5/17/17,7:02:00,10,,
20,5/17/17,8:02:00,10,,
21,5/17/17,9:02:00,10,,
22,5/17/17,10:02:00,10,,
23,5/17/17,11:02:00,10,,
24,5/17/17,12:02:00,10,,
25,5/17/17,13:02:00,10,,
26,5/17/17,14:02:00,10,,
27,5/17/17,15:02:00,10,,
28,5/17/17,16:02:00,10,,
29,5/17/17,17:02:00,10,,
30,5/17/17,18:02:00,10,,
31,5/17/17,19:02:00,10,,
32,5/17/17,20:02:00,10,,
33,5/17/17,21:02:00,10,,
34,5/17/17,22:02:00,10,,
35,5/17/17,23:02:00,10.5,,
36,5/18/17,0:02:00,10.5,,
37,5/18/17,1:02:00,10.5,,
38,5/18/17,2:02:00,10.5,,
39,5/18/17,3:02:00,10.5,,
40,5/18/17,4:02:00,10.5,,
41,5/18/17,5:02:00,10.5,,
42,5/18/17,6:02:00,10.5,,
43,5/18/17,7:02:00,10.5,,
44,5/18/17,8:02:00,10.5,,
45,5/18/17,9:02:00,10.5,,
46,5/18/17,10:02:00,10.5,,
47,5/18/17,11:02:00,10.5,,
48,5/18/17,12:02:00,10.5,,
49,5/18/17,13:02:00,10.5,,
50,5/18/17,14:02:00,10.5,,
51,5/18/17,15:02:00,10.5,,
52,5/18/17,16:02:00,11,,
53,5/18/17,17:02:00,11,,
54,5/18/17,18:02:00,11,,
55,5/18/17,19:02:00,11,,
56,5/18/17,20:02:00,11,,
57,5/18/17,21:02:00,11,,
58,5/18/17,22:02:00,11,,
59,5/18/17,23:02:00,11,,
60,5/19/17,0:02:00,11,,
61,5/19/17,1:02:00,11,,
62,5/19/17,2:02:00,11,,
63,5/19/17,3:02:00,11,,
64,5/19/17,4:02:00,11,,
65,5/19/17,5:02:00,11,,
66,5/19/17,6:02:00,11,,
67,5/19/17,7:02:00,11,,
68,5/19/17,8:02:00,11,,
69,5/19/17,9:02:00,11,,
70,5/19/17,10:02:00,11.5,,
71,5/19/17,11:02:00,11.5,,
72,5/19/17,12:02:00,11.5,,
73,5/19/17,13:02:00,11.5,,
74,5/19/17,14:02:00,11.5,,
75,5/19/17,15:02:00,11.5,,
76,5/19/17,16:02:00,11.5,,
77,5/19/17,17:02:00,11.5,,
78,5/19/17,18:02:00,11.5,,
79,5/19/17,19:02:00,11.5,,
80,5/19/17,20:02:00,11.5,,
81,5/19/17,21:02:00,11.5,,
82,5/19/17,22:02:00,11.5,,
83,5/19/17,23:02:00,11.5,,
84,5/20/17,0:02:00,11.5,,
85,5/20/17,1:02:00,11.5,,
86,5/20/17,2:02:00,11.5,,
87,5/20/17,3:02:00,11.5,,
88,5/20/17,4:02:00,11.5,,
89,5/20/17,5:02:00,11.5,,
90,5/20/17,6:02:00,11.5,,
91,5/20/17,7:02:00,11.5,,
92,5/20/17,8:02:00,12,,
93,5/20/17,9:02:00,12,,
94,5/20/17,10:02:00,12,,
95,5/20/17,11:02:00,12,,
96,5/20/17,12:02:00,12,,
97,5/20/17,13:02:00,12,,
98,5/20/17,14:02:00,12,,
99,5/20/17,15:02:00,12,,
100,5/20/17,16:02:00,12,,
101,5/20/17,17:02:00,12,,
102,5/20/17,18:02:00,12,,
103,5/20/17,19:02:00,12,,
104,5/20/17,20:02:00,12,,
105,5/20/17,21:02:00,12,,
