1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000002E694A21
Is Mission Active?  false
Mission Start:  Sat Dec 16 12:01:00 EST 2017
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2006
Total Samples:  88102
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/16/17 12:01:00 PM,C,2.5
12/16/17 2:01:00 PM,C,1.5
12/16/17 4:01:00 PM,C,0.5
12/16/17 6:01:00 PM,C,-1
12/16/17 8:01:00 PM,C,-1
12/16/17 10:01:00 PM,C,-0.5
12/17/17 12:01:00 AM,C,0
12/17/17 2:01:00 AM,C,-0.5
12/17/17 4:01:00 AM,C,-2
12/17/17 6:01:00 AM,C,-2
12/17/17 8:01:00 AM,C,-1.5
12/17/17 10:01:00 AM,C,0.5
12/17/17 12:01:00 PM,C,1.5
12/17/17 2:01:00 PM,C,2
12/17/17 4:01:00 PM,C,0.5
12/17/17 6:01:00 PM,C,3
12/17/17 8:01:00 PM,C,3
12/17/17 10:01:00 PM,C,3
12/18/17 12:01:00 AM,C,3
12/18/17 2:01:00 AM,C,3
12/18/17 4:01:00 AM,C,3
12/18/17 6:01:00 AM,C,3.5
12/18/17 8:01:00 AM,C,3.5
12/18/17 10:01:00 AM,C,3.5
12/18/17 12:01:00 PM,C,3.5
12/18/17 2:01:00 PM,C,3.5
12/18/17 4:01:00 PM,C,3.5
12/18/17 6:01:00 PM,C,3.5
12/18/17 8:01:00 PM,C,3.5
12/18/17 10:01:00 PM,C,4
12/19/17 12:01:00 AM,C,4
12/19/17 2:01:00 AM,C,4
12/19/17 4:01:00 AM,C,4
12/19/17 6:01:00 AM,C,4
12/19/17 8:01:00 AM,C,4
12/19/17 10:01:00 AM,C,4
12/19/17 12:01:00 PM,C,4
12/19/17 2:01:00 PM,C,4.5
12/19/17 4:01:00 PM,C,4.5
12/19/17 6:01:00 PM,C,4.5
12/19/17 8:01:00 PM,C,4.5
12/19/17 10:01:00 PM,C,4.5
12/20/17 12:01:00 AM,C,4.5
12/20/17 2:01:00 AM,C,4.5
12/20/17 4:01:00 AM,C,4.5
12/20/17 6:01:00 AM,C,4.5
12/20/17 8:01:00 AM,C,4.5
12/20/17 10:01:00 AM,C,4
12/20/17 12:01:00 PM,C,4
12/20/17 2:01:00 PM,C,4
12/20/17 4:01:00 PM,C,4
12/20/17 6:01:00 PM,C,4
12/20/17 8:01:00 PM,C,4
12/20/17 10:01:00 PM,C,4
12/21/17 12:01:00 AM,C,4
12/21/17 2:01:00 AM,C,3.5
12/21/17 4:01:00 AM,C,3.5
12/21/17 6:01:00 AM,C,3.5
12/21/17 8:01:00 AM,C,3.5
12/21/17 10:01:00 AM,C,3.5
12/21/17 12:01:00 PM,C,3.5
12/21/17 2:01:00 PM,C,3
12/21/17 4:01:00 PM,C,3
12/21/17 6:01:00 PM,C,3.5
12/21/17 8:01:00 PM,C,3.5
12/21/17 10:01:00 PM,C,3.5
12/22/17 12:01:00 AM,C,3.5
12/22/17 2:01:00 AM,C,3
12/22/17 4:01:00 AM,C,3.5
12/22/17 6:01:00 AM,C,3.5
12/22/17 8:01:00 AM,C,3.5
12/22/17 10:01:00 AM,C,3.5
12/22/17 12:01:00 PM,C,3.5
12/22/17 2:01:00 PM,C,4
12/22/17 4:01:00 PM,C,4
12/22/17 6:01:00 PM,C,4.5
12/22/17 8:01:00 PM,C,4.5
12/22/17 10:01:00 PM,C,4.5
12/23/17 12:01:00 AM,C,5
12/23/17 2:01:00 AM,C,5
12/23/17 4:01:00 AM,C,5
12/23/17 6:01:00 AM,C,5
12/23/17 8:01:00 AM,C,5.5
12/23/17 10:01:00 AM,C,5.5
12/23/17 12:01:00 PM,C,5.5
12/23/17 2:01:00 PM,C,5.5
12/23/17 4:01:00 PM,C,6
12/23/17 6:01:00 PM,C,6
