"1-0",11/16/2019
"Timezone",-5

"Serial No.","CA0000002E9C0521"
"Location:","4-10"
"High temperature limit (°C)",85
"Low temperature limit (°C)",-40
"Date - Time","Temperature (°C)"
"2019-07-11 20:01",16.0
"2019-07-11 22:01",16.0
"2019-07-12 00:01",16.0
"2019-07-12 02:01",16.0
"2019-07-12 04:01",16.0
"2019-07-12 06:01",16.0
"2019-07-12 08:01",16.0
"2019-07-12 10:01",16.0
"2019-07-12 12:01",16.0
"2019-07-12 14:01",16.0
"2019-07-12 16:01",16.0
"2019-07-12 18:01",16.0
"2019-07-12 20:01",16.0
"2019-07-12 22:01",16.0
"2019-07-13 00:01",16.0
"2019-07-13 02:01",16.0
"2019-07-13 04:01",16.0
"2019-07-13 06:01",16.0
"2019-07-13 08:01",16.0
"2019-07-13 10:01",16.0
"2019-07-13 12:01",16.0
"2019-07-13 14:01",15.5
"2019-07-13 16:01",15.5
"2019-07-13 18:01",15.5
"2019-07-13 20:01",15.5
"2019-07-13 22:01",15.5
"2019-07-14 00:01",15.5
"2019-07-14 02:01",16.0
"2019-07-14 04:01",16.0
"2019-07-14 06:01",16.0
"2019-07-14 08:01",16.0
"2019-07-14 10:01",16.0
"2019-07-14 12:01",15.5
"2019-07-14 14:01",15.5
"2019-07-14 16:01",15.5
"2019-07-14 18:01",15.5
"2019-07-14 20:01",16.0
"2019-07-14 22:01",16.0
"2019-07-15 00:01",16.0
"2019-07-15 02:01",16.0
"2019-07-15 04:01",16.0
"2019-07-15 06:01",16.0
"2019-07-15 08:01",16.0
"2019-07-15 10:01",16.0
"2019-07-15 12:01",16.0
"2019-07-15 14:01",16.0
"2019-07-15 16:01",16.0
"2019-07-15 18:01",15.5
"2019-07-15 20:01",16.0
"2019-07-15 22:01",16.0
"2019-07-16 00:01",16.0
"2019-07-16 02:01",16.0
"2019-07-16 04:01",16.0
"2019-07-16 06:01",16.0
"2019-07-16 08:01",16.0
"2019-07-16 10:01",16.0
"2019-07-16 12:01",16.0
"2019-07-16 14:01",16.0
"2019-07-16 16:01",16.0
"2019-07-16 18:01",16.0
"2019-07-16 20:01",16.0
"2019-07-16 22:01",16.0
"2019-07-17 00:01",16.0
"2019-07-17 02:01",16.0
"2019-07-17 04:01",16.0
"2019-07-17 06:01",16.0
"2019-07-17 08:01",16.0
"2019-07-17 10:01",16.0
"2019-07-17 12:01",16.0
"2019-07-17 14:01",16.0
"2019-07-17 16:01",16.0
"2019-07-17 18:01",16.0
"2019-07-17 20:01",16.0
"2019-07-17 22:01",16.0
"2019-07-18 00:01",16.0
"2019-07-18 02:01",16.0
"2019-07-18 04:01",16.0
"2019-07-18 06:01",16.0
"2019-07-18 08:01",16.0
"2019-07-18 10:01",16.0
"2019-07-18 12:01",16.0
"2019-07-18 14:01",16.5
"2019-07-18 16:01",16.5
"2019-07-18 18:01",16.5
"2019-07-18 20:01",16.5
"2019-07-18 22:01",16.5
"2019-07-19 00:01",16.5
"2019-07-19 02:01",16.5
"2019-07-19 04:01",16.5
"2019-07-19 06:01",16.5
"2019-07-19 08:01",16.5
"2019-07-19 10:01",16.5
"2019-07-19 12:01",16.5
"2019-07-19 14:01",16.5
"2019-07-19 16:01",16.5
"2019-07-19 18:01",16.5
"2019-07-19 20:01",16.5
"2019-07-19 22:01",16.5
"2019-07-20 00:01",16.5
"2019-07-20 02:01",16.5
"2019-07-20 04:01",16.5
"2019-07-20 06:01",16.5
"2019-07-20 08:01",17.0
"2019-07-20 10:01",17.0
"2019-07-20 12:01",17.0
"2019-07-20 14:01",17.0
"2019-07-20 16:01",17.0
"2019-07-20 18:01",17.0
"2019-07-20 20:01",17.0
"2019-07-20 22:01",17.0
"2019-07-21 00:01",17.0
"2019-07-21 02:01",17.0
"2019-07-21 04:01",17.0
"2019-07-21 06:01",17.0
"2019-07-21 08:01",17.0
"2019-07-21 10:01",17.0
